ZIP,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total,Lon,Lat
91042,0,0,500,0,0,500,-118.2570005,34.30685091
91105,1100,0,0,0,0,1100,-118.1671249,34.14049846
91301,0,0,0,2010.64,0,2010.64,-118.7568603,34.12315023
91367,1300,0,900,1900,1850,5950,-118.6152306,34.17706238
91716,0,375.97,2216.12,2529.05,8156.79,13277.93,-117.9599819,34.0199876
91754,0,0,0,0,600,600,-118.1444992,34.05099699
92373,0,0,0,0,2142.97,2142.97,-117.1535432,34.00646106
92509,6865,0,0,0,885,7750,-117.4454296,34.00292526
92557,0,0,0,0,4000,4000,-117.2570351,33.96854659
92571,0,0,0,0,1500,1500,-117.1952265,33.84181622
93274,3600,0,0,0,0,3600,-119.3794628,36.17974948
94530,390,0,0,275,0,665,-122.3006352,37.92074034
95695,0,0,0,0,189,189,-121.8567015,38.6883931
97008,0,209.59,1156.28,128.83,539.39,2034.09,-122.8024803,45.46043298
98108,1825.45,1532.52,7435.68,11736.79,7313.19,29843.63,-122.312601,47.54113457
