ZCTA5CE20,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total
78251," $11,013.00 ", $175.00 ," $1,499.00 "," $5,336.00 "," $7,132.09 "," 25,155.09 "
78252," $3,456.00 ", $-   , $-   , $360.00 ," $1,350.00 "," 5,166.00 "
78253," $3,860.00 "," $1,295.76 "," $1,348.53 "," $2,320.00 "," $9,770.00 "," 18,594.29 "
78254," $2,400.00 ", $93.75 , $-   ," $1,240.00 ", $452.60 ," 4,186.35 "
78255, $-   , $-   , $250.00 , $-   , $-   , 250.00 
78258, $100.00 , $50.00 , $500.00 , $800.00 ," $9,500.00 "," 10,950.00 "
78259, $100.00 , $750.00 , $-   , $-   ," $2,500.00 "," 3,350.00 "
78260, $-   , $-   , $-   , $-   ," $5,855.20 "," 5,855.20 "
78261, $359.00 , $-   , $65.00 , $72.00 , $-   , 496.00 
78263," $11,290.00 "," $1,400.00 ", $-   ," $4,725.00 ", $-   ," 17,415.00 "
78264, $-   , $-   , $500.00 ," $1,550.00 "," $1,400.00 "," 3,450.00 "
78265," $11,170.27 "," $1,309.45 ", $829.23 , $552.48 , $556.84 ," 14,418.27 "
78269, $-   , $53.65 , $-   , $-   , $-   , 53.65 
78278, $-   , $-   ," $3,550.00 "," $44,990.38 "," $40,036.25 "," 88,576.63 "
78283, $394.65 , $-   ," $1,600.00 "," $2,129.24 "," $1,663.84 "," 5,787.73 "
78284, $543.90 , $313.56 , $359.46 , $56.50 , $256.19 ," 1,529.61 "
78289," $33,030.77 "," $19,623.46 "," $25,105.09 "," $37,416.03 "," $35,694.19 "," 150,869.54 "
78293, $40.00 ," $2,100.00 ", $-   , $-   , $-   ," 2,140.00 "
78296, $-   , $-   , $-   , $-   ," $4,774.50 "," 4,774.50 "
78297, $-   , $99.00 , $-   , $24.99 , $-   , 123.99 
78299," $16,536.20 "," $18,609.26 "," $15,463.91 "," $12,138.79 "," $4,271.74 "," 67,019.90 "
78332," $4,000.00 ", $-   , $-   , $-   , $-   ," 4,000.00 "
78363," $2,600.00 ", $-   , $-   , $-   , $-   ," 2,600.00 "
78387, $800.00 , $-   , $-   , $-   , $-   , 800.00 
78401, $418.83 , $-   , $-   , $-   , $-   , 418.83 
78404," $1,000.00 ", $-   , $500.00 , $500.00 , $500.00 ," 2,500.00 "
78405, $-   , $-   , $900.00 ," $1,150.00 "," $1,500.00 "," 3,550.00 "
78413," $1,500.00 ", $-   , $-   , $-   , $-   ," 1,500.00 "
78501, $-   , $-   , $-   ," $1,093.61 ", $-   ," 1,093.61 "
78504, $250.00 , $-   , $-   , $-   , $-   , 250.00 
78521, $800.00 , $-   , $-   , $-   , $-   , 800.00 
78526, $-   , $-   , $-   ," $2,515.00 ", $-   ," 2,515.00 "
78538," $1,200.00 ", $-   , $-   , $-   , $-   ," 1,200.00 "
78539, $200.00 , $-   , $-   , $-   , $-   , 200.00 
78540, $-   ," $3,507.54 ", $-   ," $9,900.00 ", $-   ," 13,407.54 "
78543, $500.00 , $-   , $-   , $-   , $-   , 500.00 
78582," $1,500.00 ", $-   , $-   , $-   , $-   ," 1,500.00 "
78586, $850.00 , $-   ," $1,200.00 ", $650.00 , $675.00 ," 3,375.00 "
78596, $-   , $-   , $-   , $-   ," $2,250.00 "," 2,250.00 "
78606, $-   , $-   , $-   , $350.00 , $-   , 350.00 
78610, $765.75 , $360.00 , $450.00 , $175.00 , $612.50 ," 2,363.25 "
